procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 19506440 342416 4633692    0    0     0     0 50508 141376 15  7 79  0  0
 3  0      0 19524444 342416 4633920    0    0     0    72 47991 113840 14  6 80  0  0
 1  0      0 19526752 342416 4633920    0    0     0     0 48236 110695 14  5 81  0  0
 1  0      0 19526660 342416 4633920    0    0     0     0 49350 112542 15  6 79  0  0
17  0      0 19525780 342424 4633920    0    0     0    72 49350 111437 14  6 79  0  0
 1  0      0 19522500 342424 4633920    0    0     0     0 50754 145618 14  8 78  0  0
 1  0      0 19523020 342424 4633924    0    0     0     0 49723 117658 15  6 79  0  0
 1  0      0 19524492 342448 4633924    0    0     0   144 49563 114334 14  6 80  0  0
 1  0      0 19525360 342448 4633924    0    0     0     0 49136 112511 15  7 79  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
16  0      0 19525440 342448 4633924    0    0     0    28 49377 111661 14  6 79  0  0
16  0      0 19520372 342448 4633924    0    0     0    60 50090 130363 14  6 80  0  0
 1  0      0 19515620 342448 4633924    0    0     0     0 50060 120091 15  7 79  0  0
20  0      0 19520344 342456 4633924    0    0     0    96 50302 127354 15  7 78  0  0
 2  0      0 19520552 342456 4633928    0    0     0     0 49611 113592 15  7 78  0  0
 2  0      0 19521852 342456 4633928    0    0     0     0 46539 92492 15  6 79  0  0
 1  0      0 19512468 342456 4633928    0    0     0     8 51557 133749 16  7 77  0  0
 1  0      0 19515652 342456 4633928    0    0     0     0 49798 118882 15  7 78  0  0
 1  0      0 19514892 342480 4633940    0    0     0   212 49080 111510 14  6 80  0  0
 1  0      0 19514792 342480 4633916    0    0     0     0 48993 113446 14  6 80  0  0
 4  0      0 19514900 342480 4633916    0    0     0     0 49977 121558 15  8 78  0  0
 1  0      0 19510668 342480 4633916    0    0     0     0 51929 140731 15  8 77  0  0
 5  0      0 19508964 342480 4633916    0    0     0     8 50352 120844 15  6 79  0  0
 2  0      0 19512016 342488 4633908    0    0     0    60 49148 113612 15  7 79  0  0
 1  0      0 19509404 342488 4633916    0    0     0     0 49168 114006 14  7 80  0  0
 1  0      0 19509252 342488 4633916    0    0     0     0 49383 113605 15  6 79  0  0
 2  0      0 19505316 342488 4633916    0    0     0     0 50933 132522 15  7 79  0  0
 1  0      0 19502620 342488 4633916    0    0     0     8 50424 133631 15  7 79  0  0
 1  0      0 19504348 342488 4633916    0    0     0    44 50031 113475 15  7 78  0  0
 1  0      0 19504488 342496 4633916    0    0     0    16 49321 113630 15  7 79  0  0
 1  0      0 19505408 342496 4633916    0    0     0     0 49112 113119 14  7 79  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 19498428 342496 4633916    0    0     0     0 50419 129076 15  6 79  0  0
 6  0      0 19498968 342496 4633916    0    0     0     0 49507 118074 14  7 79  0  0
 1  0      0 19503064 342496 4633920    0    0     0    12 49448 113320 15  6 79  0  0
 2  0      0 19502516 342504 4633920    0    0     0    28 49999 125505 15  8 77  0  0
 3  0      0 19500252 342504 4633920    0    0     0     0 49406 113067 14  6 79  0  0
 1  0      0 19491636 342504 4633920    0    0     0     0 50667 131862 14  7 79  0  0
 1  0      0 19491652 342504 4633920    0    0     0     0 50415 119600 15  6 79  0  0
 4  0      0 19486356 342504 4637072    0    0     0     8 52479 123579 16  7 76  0  0
 1  1      0 19474228 344224 4639408    0    0     0  9756 58066 155506 18  7 72  3  0
 1  0      0 19478516 345072 4640228    0    0     0  4908 51771 118399 15  6 77  2  0
 1  0      0 19479700 345072 4637320    0    0     0     0 52911 149307 16  8 76  0  0
 1  0      0 19487200 345072 4634024    0    0     0     0 51024 125235 15  6 79  0  0
 1  0      0 19485656 345072 4639048    0    0     0     0 51919 132207 15  6 78  0  0
 8  0      0 19484660 345072 4639272    0    0     0    20 50242 116702 14  7 79  0  0
 1  0      0 19488360 345080 4637448    0    0     0    68 49654 112184 15  7 78  0  0
 1  0      0 19480408 345080 4634028    0    0     0     0 51095 131478 15  7 78  0  0
 4  0      0 19484880 345080 4634028    0    0     0     0 50242 122032 15  7 78  0  0
 1  0      0 19485712 345080 4634028    0    0     0     0 50384 125451 15  7 78  0  0
 1  0      0 19487924 345080 4634028    0    0     0     0 49720 115325 14  6 80  0  0
 1  0      0 19487084 345080 4634032    0    0     0    52 49371 112781 14  7 78  0  0
 2  0      0 19483040 345088 4634032    0    0     0    16 50868 133229 14  7 79  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 19479848 345088 4634032    0    0     0     0 50323 120094 15  7 78  0  0
14  0      0 19481916 345088 4634032    0    0     0     0 49668 111534 15  6 78  0  0
 4  0      0 19481420 345088 4634028    0    0     0    20 49299 123637 14  7 79  0  0
 4  0      0 19481004 345088 4634032    0    0     0     0 49058 110957 14  6 80  0  0
 1  0      0 19476132 345096 4634032    0    0     0    48 50138 131431 14  6 80  0  0
 1  0      0 19475888 345096 4634032    0    0     0     0 49646 118175 15  6 79  0  0
 2  1      0 19476656 345120 4634068    0    0     0   228 49259 113674 14  6 81  0  0
 3  0      0 19458820 347680 4633832    0    0     0 14348 55337 146604 15  7 73  4  0
 1  0      0 19463940 347680 4634096    0    0     0     0 49820 114631 15  7 79  0  0
 4  0      0 19458128 347680 4634096    0    0     0    48 52703 158747 14  8 78  0  0
 1  0      0 19462032 347680 4634096    0    0     0     0 50079 123950 15  7 78  0  0
 1  0      0 19464428 347680 4634096    0    0     0     0 48913 110443 14  6 80  0  0
 2  0      0 19465392 347680 4634096    0    0     0     0 48608 110197 15  6 79  0  0
 8  0      0 19467600 347688 4634096    0    0     0    68 49296 112828 15  6 79  0  0
 1  0      0 19462812 347688 4634096    0    0     0     0 50440 130059 14  7 79  0  0
16  0      0 19460484 347688 4634096    0    0     0     0 49931 119102 16  7 77  0  0
 1  0      0 19466668 347688 4634096    0    0     0     0 48906 112334 15  6 79  0  0
 5  0      0 19462988 347688 4634096    0    0     0     0 48795 122145 15  7 78  0  0
 1  0      0 19464788 347696 4634088    0    0     0    68 47883 111644 14  6 79  0  0
 2  0      0 19454592 347696 4634100    0    0     0     0 49925 127921 15  7 78  0  0
 1  0      0 19456048 347696 4634100    0    0     0     0 49321 116506 15  6 78  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 19458908 347696 4634100    0    0     0     0 48852 111643 14  6 81  0  0
 1  0      0 19460168 347696 4634100    0    0     0    24 49144 112871 15  6 79  0  0
17  0      0 19461664 347696 4634100    0    0     0     0 49214 111666 15  7 78  0  0
 3  0      0 19452500 347704 4634100    0    0     0    36 50067 129330 14  6 80  0  0
 8  0      0 19451972 347704 4634100    0    0     0     0 49226 118855 14  7 79  0  0
17  0      0 19453996 347704 4634100    0    0     0     0 48380 118542 14  6 80  0  0
 1  0      0 19456420 347704 4634100    0    0     0     4 49021 112844 15  6 79  0  0
 1  0      0 19455492 347704 4634100    0    0     0     8 48774 110794 15  6 79  0  0
 1  0      0 19446340 347712 4634100    0    0     0    72 50425 133467 15  6 79  0  0
16  0      0 19448236 347712 4634100    0    0     0     0 49220 117168 14  6 80  0  0
 1  0      0 19449812 347712 4634100    0    0     0     0 48583 111281 14  5 80  0  0
 1  0      0 19451812 347712 4634104    0    0     0     0 48426 111756 13  6 81  0  0
 1  0      0 19449740 347712 4634104    0    0     0    12 48523 109834 14  7 79  0  0
 7  0      0 19441808 347712 4634104    0    0     0    40 49755 135631 15  8 78  0  0
 1  0      0 19440724 347720 4634104    0    0     0    28 48599 118464 14  6 80  0  0
 2  0      0 19444584 347720 4634104    0    0     0     0 47957 109419 14  6 80  0  0
 1  0      0 19445348 347720 4634104    0    0     0     0 48451 109708 14  7 79  0  0
 1  0      0 19443048 347720 4634104    0    0     0     0 49287 112739 15  6 79  0  0
 4  0      0 19440464 347720 4634104    0    0     0     8 49771 123050 15  7 78  0  0
 1  0      0 19440852 347728 4634096    0    0     0    28 49646 122727 15  7 78  0  0
 2  0      0 19440616 347728 4634108    0    0     0     0 48470 109582 14  7 79  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 19442900 347728 4634108    0    0     0     0 48194 110301 14  6 79  0  0
 1  0      0 19441500 347728 4634108    0    0     0     0 49010 112951 15  7 78  0  0
 4  0      0 19291580 347728 4634108    0    0     0    12 48056 123805 14  7 79  0  0
 2  0      0 19297628 347728 4634108    0    0     0     0 50556 132187 15  7 78  0  0
 1  0      0 19373372 347736 4634108    0    0     0    28 48750 110671 15  6 79  0  0
 1  0      0 19436320 347736 4634108    0    0     0     0 48417 109449 15  6 79  0  0
16  0      0 19436892 347736 4634108    0    0     0     0 48112 109324 14  5 81  0  0
 2  0      0 19431584 347736 4634108    0    0     0     0 49251 121005 14  7 79  0  0
14  0      0 19428924 347736 4634108    0    0     0     8 48872 121268 13  6 80  0  0
 5  0      0 19430616 347744 4634108    0    0     0    28 48270 109440 14  7 79  0  0
 1  0      0 19429892 347744 4634108    0    0     0     0 48588 110246 14  6 79  0  0
 4  0      0 19431756 347744 4634108    0    0     0     0 51718 133832 16  7 77  0  0
 1  0      0 19434424 347744 4634108    0    0     0     0 50435 126792 15  7 78  0  0
 1  0      0 19434516 347744 4634108    0    0     0     8 49330 121684 14  6 80  0  0
16  0      0 19435516 347744 4634112    0    0     0     0 48783 109016 15  6 78  0  0
 1  0      0 19361364 347752 4634112    0    0     0    16 46780 106760 14  6 80  0  0
 1  0      0 19366812 347752 4634112    0    0     0     0 48201 109778 14  6 80  0  0
 1  0      0 19368896 347752 4634112    0    0     0     0 49491 121491 14  6 80  0  0
 5  0      0 19424012 347752 4634112    0    0     0    12 49516 122461 14  6 79  0  0
17  0      0 19428224 347752 4634112    0    0     0     0 48392 110284 14  6 81  0  0
 4  0      0 19427704 347760 4634112    0    0     0    52 48765 112480 14  6 80  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
16  0      0 19429380 347760 4634112    0    0     0     0 49792 122932 14  7 79  0  0
 1  0      0 19424708 347760 4634112    0    0     0     0 50384 124394 15  7 78  0  0
 1  0      0 19425144 347760 4634112    0    0     0     0 50038 123912 15  6 79  0  0
10  0      0 19426368 347760 4634112    0    0     0    12 48916 110503 15  7 78  0  0
 9  0      0 19404460 350344 4633716    0    0     0 14532 54542 149030 15  7 73  4  0
 2  0      0 19414464 350344 4634184    0    0     0     0 48464 109968 14  6 80  0  0
 2  0      0 19407756 350344 4634184    0    0     0     0 51687 145315 15  8 78  0  0
 3  0      0 19413152 350344 4634184    0    0     0     0 50084 123676 15  7 78  0  0
 1  0      0 19414596 350344 4634184    0    0     0     0 49349 124028 15  7 78  0  0
 1  0      0 19414068 350344 4634184    0    0     0    48 48519 110206 14  6 80  0  0
 3  0      0 19416084 350352 4634184    0    0     0    56 48945 110359 16  7 78  0  0
 1  0      0 19413108 350352 4634184    0    0     0     0 49556 123053 15  7 79  0  0
 4  0      0 19409868 350352 4634184    0    0     0     0 50251 123596 15  7 78  0  0
 1  0      0 19412616 350352 4634188    0    0     0     0 48569 111310 15  6 80  0  0
 1  0      0 19414424 350352 4634188    0    0     0     0 48832 112341 14  6 80  0  0
 3  0      0 19412540 350360 4634184    0    0     0    60 48530 110309 14  6 79  0  0
 1  0      0 19405892 350360 4634552    0    0     0     0 47761 117917 14  6 80  0  0
 1  0      0 19390324 350360 4644284    0    0     0     0 22540 47665  7  0 93  0  0
 1  0      0 19384204 350360 4654872    0    0     0  8212 21037 36884  7  0 93  0  0
 1  0      0 19476800 350360 4663628    0    0     0     0 21025 37035  7  0 93  0  0
 1  0      0 19480500 350360 4663628    0    0     0     0 20175 36723  7  0 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 19479780 350368 4663628    0    0     0    56 20899 46708  7  0 93  0  0
 2  0      0 19481444 350368 4663632    0    0     0     0 21260 47342  7  0 93  0  0
 1  0      0 19481296 350368 4663632    0    0     0 20448 21161 36721  7  0 93  1  0
 1  0      0 19477352 350368 4663632    0    0     0     4 20612 36791  7  0 93  0  0
 1  0      0 19471484 350368 4663632    0    0     0     0 20285 36774  7  0 93  0  0
 1  0      0 19463104 350376 4663624    0    0     0    96 21093 46727  7  0 93  0  0
 1  0      0 19455128 350376 4663632    0    0     0     0 21362 46910  7  0 93  0  0
 1  0      0 19457288 350376 4663632    0    0     0     0 20499 36750  6  0 93  0  0
 1  0      0 19451332 350376 4663632    0    0     0     0 20452 36730  7  0 93  0  0
 2  0      0 19447448 350376 4663636    0    0     0     0 20456 36717  6  0 93  0  0
 1  0      0 19435824 350376 4663636    0    0     0    56 21119 46719  7  0 93  0  0
 1  0      0 19433064 350384 4663636    0    0     0    16 21560 47347  7  0 93  0  0
 1  0      0 19432536 350384 4663636    0    0     0     0 20494 36826  7  0 93  0  0
 1  0      0 19425132 350384 4663636    0    0     0     0 20363 36755  6  0 93  0  0
 1  0      0 19417232 350384 4663636    0    0     0     0 20483 36730  7  0 93  0  0
 1  0      0 19406940 350384 4663636    0    0     0     0 38295 99436 11  4 84  0  0
 1  0      0 19410644 350392 4663636    0    0     0    16 50408 124527 15  7 79  0  0
 1  0      0 19428396 350392 4663636    0    0     0     0 49376 113465 14  7 79  0  0
 1  0      0 19428048 350392 4663636    0    0     0     0 49964 124597 15  8 77  0  0
 1  0      0 19427692 350392 4663636    0    0     0     0 49273 113237 14  6 79  0  0
 7  0      0 19420180 350392 4663636    0    0     0     0 50636 127856 14  6 80  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1      0 19420952 350396 4663632    0    0     0    12 50695 125459 14  7 79  0  0
 1  0      0 19426024 350400 4663636    0    0     0     4 49707 115124 14  7 79  0  0
 1  0      0 19422292 350400 4663636    0    0     0    16 49644 113104 15  7 78  0  0
20  0      0 19417032 350400 4663636    0    0     0     0 50066 120228 15  7 78  0  0
 1  0      0 19413452 350400 4663636    0    0     0     0 50875 135146 15  7 78  0  0
 1  0      0 19411892 350400 4663636    0    0     0     0 50207 123937 14  6 80  0  0
16  0      0 19412260 350408 4663636    0    0     0    64 49216 114067 14  6 80  0  0
 2  0      0 19415508 350408 4663636    0    0     0     0 49234 112302 15  6 80  0  0
 1  0      0 19416524 350408 4663636    0    0     0     8 49826 112891 15  6 78  0  0
 1  0      0 19411348 350408 4663636    0    0     0     0 50312 124473 15  7 79  0  0
 1  0      0 19408936 350408 4663636    0    0     0     0 50804 138032 15  7 78  0  0
 4  0      0 19406908 350416 4663636    0    0     0    16 50027 116055 15  6 79  0  0
 1  0      0 19410748 350416 4663636    0    0     0     0 49720 112702 15  7 78  0  0
 2  0      0 19412936 350416 4663636    0    0     0     8 49329 111623 15  6 79  0  0
 1  0      0 19403852 350416 4663640    0    0     0     0 50531 125531 15  7 78  0  0
 3  0      0 19401884 350416 4663640    0    0     0     0 48189 119573 15  7 78  0  0
 1  0      0 19405848 350424 4663640    0    0     0    32 49660 114217 15  7 78  0  0
16  0      0 19406792 350424 4663640    0    0     0     4 49540 116302 15  6 79  0  0
 1  0      0 19404024 350424 4663640    0    0     0     0 50357 124235 15  7 78  0  0
 1  0      0 19398664 350424 4663640    0    0     0    12 50766 127575 15  7 78  0  0
 1  0      0 19397716 350424 4663640    0    0     0     0 50893 125728 14  6 80  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1      0 19399132 350428 4663636    0    0     0    60 49383 111519 15  7 78  0  0
 2  0      0 19381184 353016 4663664    0    0     0 14588 58155 161748 17  8 71  4  0
 1  0      0 19390952 353016 4663724    0    0     0     0 50490 125133 15  7 78  0  0
20  0      0 19392104 353024 4663716    0    0     0    84 52682 154214 16  8 77  0  0
 1  0      0 19396412 353024 4663724    0    0     0     0 51719 135068 15  8 77  0  0
 2  0      0 19402072 353024 4663728    0    0     0     0 49743 112127 15  7 78  0  0
16  0      0 19401400 353024 4663728    0    0     0    96 49759 112971 15  7 78  0  0
 1  0      0 19401232 353024 4663728    0    0     0     0 49120 112756 14  6 79  0  0
 1  0      0 19395556 353032 4663728    0    0     0    20 49926 125338 14  6 79  0  0
 1  0      0 19397240 353032 4663728    0    0     0     0 50695 124996 14  7 79  0  0
 1  0      0 19398824 353048 4663720    0    0     8    48 49996 123971 15  8 77  0  0
 2  0      0 19399584 353048 4663728    0    0     0     0 49802 113125 15  7 79  0  0
 1  0      0 19399820 353048 4663728    0    0     0     0 49992 112942 14  7 79  0  0
 1  0      0 19391368 353048 4663728    0    0     0    16 50611 124628 15  7 78  0  0
 1  0      0 19388976 353048 4663728    0    0     0    32 50631 121978 15  6 78  0  0
 1  0      0 19392504 353056 4663720    0    0     0    76 49077 112232 15  7 79  0  0
 1  0      0 19394040 353056 4663732    0    0     0     0 49256 112199 14  6 80  0  0
 1  0      0 19393484 353056 4663732    0    0     0     0 49670 123685 15  7 78  0  0
 1  0      0 19386684 353056 4663732    0    0     0     0 50902 124927 15  7 77  0  0
 2  0      0 19387420 353056 4663732    0    0     0     8 50732 125607 15  7 78  0  0
 6  0      0 19389992 353056 4663732    0    0     0    48 48819 111423 14  7 79  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 19390176 353064 4663732    0    0     0    56 49401 111085 14  6 79  0  0
 1  0      0 19389832 353064 4663732    0    0     0     0 49194 110112 15  6 79  0  0
 1  0      0 19383128 353064 4663732    0    0     0     0 50005 123229 15  7 78  0  0
12  0      0 19381436 353064 4663732    0    0     0     0 50878 138385 15  8 78  0  0
14  0      0 19386108 353064 4663732    0    0     0     8 48816 112094 14  6 80  0  0
 1  0      0 19385520 353072 4663732    0    0     0    56 48964 110892 15  6 79  0  0
 1  0      0 19385976 353072 4663732    0    0     0     0 49246 111417 15  6 79  0  0
15  0      0 19378612 353072 4663732    0    0     0     0 50460 124504 15  7 78  0  0
 1  0      0 19375936 353072 4663732    0    0     0     0 50874 126028 14  6 79  0  0
 1  0      0 19377780 353072 4663732    0    0     0     8 49582 111903 15  7 78  0  0
 5  0      0 19378412 353072 4663732    0    0     0     0 49619 116026 15  7 78  0  0
 1  0      0 19376720 353080 4663732    0    0     0    16 49706 120277 15  7 78  0  0
 6  0      0 19373684 353080 4663732    0    0     0     0 50704 123742 15  6 79  0  0
 1  0      0 19373580 353080 4663732    0    0     0     0 50564 124806 14  6 79  0  0
 1  0      0 19373768 353080 4663732    0    0     0     0 49335 112923 15  6 78  0  0
 1  0      0 19373524 353080 4663732    0    0     0     8 49344 112840 15  6 79  0  0
16  0      0 19374176 353088 4663728    0    0     0    16 48413 110275 15  6 79  0  0
 1  0      0 19367932 353088 4663736    0    0     0     0 49463 122285 14  7 79  0  0
 2  0      0 19367916 353088 4663736    0    0     0     0 50376 135240 15  7 78  0  0
 1  0      0 19369248 353088 4663736    0    0     0     0 48872 112681 14  5 80  0  0
 2  0      0 19368460 353088 4663736    0    0     0    12 49190 110454 15  6 79  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1      0 19370392 353092 4663732    0    0     0    24 48943 108871 15  6 79  0  0
 1  0      0 19360904 353096 4663740    0    0     0     4 50156 124143 14  7 79  0  0
 2  0      0 19362676 353096 4663740    0    0     0     0 49378 124013 14  6 80  0  0
 1  0      0 19365836 353096 4663740    0    0     0     0 49131 111174 14  6 80  0  0
 5  0      0 19364924 353096 4663740    0    0     0     0 49423 116802 15  7 79  0  0
 1  0      0 19364224 353096 4663744    0    0     0    16 49263 116246 14  7 79  0  0
 5  0      0 19356588 353104 4663744    0    0     0    68 49940 123938 14  6 80  0  0
18  0      0 19356472 353104 4663744    0    0     0     0 49454 119976 14  6 80  0  0
 1  0      0 19357392 353104 4663744    0    0     0     0 48819 112565 15  6 79  0  0
 1  0      0 19357584 353104 4663744    0    0     0     0 49289 112376 14  6 80  0  0
 1  0      0 19356960 353104 4663744    0    0     0     8 48757 111267 14  5 81  0  0
 1  0      0 19352796 353112 4663740    0    0     0    16 49662 122742 14  6 80  0  0
 1  0      0 19353440 353112 4663744    0    0     0     0 49564 120781 14  7 79  0  0
16  0      0 19354188 353112 4663744    0    0     0     0 49877 126492 15  7 78  0  0
16  0      0 19354784 353112 4663740    0    0     0     4 49235 111679 15  6 79  0  0
16  0      0 19351652 353112 4663744    0    0     0     0 48541 111482 14  6 81  0  0
 1  0      0 19347632 353120 4663744    0    0     0    64 50138 123092 14  6 79  0  0
 7  0      0 19347520 353120 4663744    0    0     0     0 50432 124327 14  6 79  0  0
 2  0      0 19346320 353120 4663872    0    0     0     0 49404 112426 15  7 78  0  0
 2  0      0 19337724 355704 4663556    0    0     0 14676 57314 151462 17  7 71  4  0
 4  0      0 19343312 355704 4663804    0    0     0     0 50386 134311 15  7 79  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 19340716 355704 4663820    0    0     0     0 52138 158493 14  7 79  0  0
 1  0      0 19344704 355704 4663820    0    0     0     0 50197 125419 14  6 80  0  0
16  0      0 19346752 355704 4663820    0    0     0     0 48303 110169 14  6 80  0  0
15  0      0 19350932 355704 4663820    0    0     0    32 49064 112882 14  6 80  0  0
 1  0      0 19346636 355712 4663824    0    0     0    72 49240 112539 14  6 79  0  0
 1  0      0 19343268 355712 4663824    0    0     0     0 49365 123328 14  6 80  0  0
 9  0      0 19343916 355712 4663824    0    0     0     0 50289 122278 15  7 78  0  0
16  0      0 19345252 355728 4663820    0    0     0   120 49299 116030 14  6 80  0  0
17  0      0 19346024 355728 4663824    0    0     0     0 49678 119629 15  7 78  0  0
 2  0      0 19343948 355728 4663824    0    0     0    84 48730 110367 14  7 79  0  0
 1  0      0 19337032 355728 4663824    0    0     0     0 49827 122990 15  7 78  0  0
 1  0      0 19332900 355728 4663824    0    0     0    20 49887 122425 14  6 80  0  0
 3  0      0 19336820 355736 4663816    0    0     0   220 48753 110179 14  6 80  0  0
16  0      0 19333800 355736 4663824    0    0     0     0 48834 110429 15  6 79  0  0
 3  0      0 19333696 355736 4663824    0    0     0     0 48770 110533 14  6 80  0  0
 5  0      0 19329208 355736 4663824    0    0     0     0 50488 132438 14  7 79  0  0
 1  0      0 19330016 355736 4663824    0    0     0     8 50370 130546 14  6 79  0  0
 1  0      0 19332040 355744 4663828    0    0     0    88 48833 110461 14  6 80  0  0
 1  0      0 19331104 355744 4663832    0    0     0     0 48829 111381 14  6 80  0  0
 1  0      0 19329396 355744 4663832    0    0     0     0 49134 113260 15  6 79  0  0
 1  0      0 19325208 355744 4663832    0    0     0     0 50286 125014 14  6 80  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 19324312 355744 4663832    0    0     0     0 50011 123929 15  7 79  0  0
 1  0      0 19324868 355744 4663832    0    0     0    16 48767 111279 14  6 80  0  0
 1  0      0 19327244 355752 4663832    0    0     0    60 49729 126655 14  7 79  0  0
 1  0      0 19326660 355752 4663832    0    0     0     0 48359 110228 14  5 81  0  0
 3  0      0 19319276 355752 4663832    0    0     0     0 49393 123678 13  6 81  0  0
14  0      0 19320644 355752 4663832    0    0     0     0 49979 122496 14  6 80  0  0
 1  0      0 19322664 355752 4663836    0    0     0    12 48475 111251 14  6 80  0  0
 1  0      0 19323840 355760 4663836    0    0     0    68 48708 112712 14  6 81  0  0
 1  0      0 19324172 355760 4663836    0    0     0     0 49223 113166 15  6 79  0  0
 2  0      0 19317976 355760 4663836    0    0     0     0 49840 126094 14  6 81  0  0
 4  0      0 19315020 355760 4663836    0    0     0     0 50667 135179 15  7 78  0  0
 1  0      0 19316076 355760 4663836    0    0     0     0 49260 111834 14  6 80  0  0
 6  0      0 19316380 355760 4663836    0    0     0    20 48801 110891 14  6 79  0  0
 1  0      0 19319184 355784 4663836    0    0     0   100 48883 111900 14  6 80  0  0
 1  0      0 19310216 355784 4663836    0    0     0     0 49724 121538 14  6 79  0  0
 6  0      0 19310276 355784 4663836    0    0     0     0 49833 120778 14  6 80  0  0
 1  0      0 19312336 355784 4663836    0    0     0     0 48719 109954 15  6 79  0  0
 1  0      0 19312232 355784 4663836    0    0     0     8 48258 108836 14  6 80  0  0
19  0      0 19312132 355792 4663836    0    0     0    60 48692 113926 14  6 80  0  0
 4  0      0 19308880 355792 4663836    0    0     0     0 48843 128451 14  7 79  0  0
 1  0      0 19305740 355792 4663836    0    0     0     0 49053 121239 14  6 80  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 19308000 355792 4663836    0    0     0     0 48435 108527 14  6 80  0  0
 2  0      0 19307692 355792 4663836    0    0     0     0 48387 110628 14  6 80  0  0
 1  0      0 19304212 355792 4663836    0    0     0     8 47896 109537 14  6 81  0  0
 1  0      0 19304560 355800 4663836    0    0     0    16 49453 123193 14  6 80  0  0
 1  0      0 19302356 355800 4663836    0    0     0     0 50137 123031 15  7 79  0  0
 1  0      0 19303332 355800 4663840    0    0     0     0 47880 107543 13  5 82  0  0
11  0      0 19302616 355800 4663852    0    0     0     0 48113 109338 14  6 80  0  0
 4  0      0 19301444 355800 4663852    0    0     0     8 48574 115776 14  6 80  0  0
 2  0      0 19298084 355808 4663844    0    0     0    32 49130 128191 14  7 79  0  0
 1  0      0 19294048 355808 4663852    0    0     0     0 49742 122121 15  6 79  0  0
 1  0      0 19298736 355808 4663852    0    0     0    32 44758 88691 14  5 81  0  0
 1  0      0 19293564 355808 4666044    0    0     0     4 51103 120581 14  6 80  0  0
 2  0      0 19290932 355808 4666044    0    0     0     0 51733 123368 14  6 80  0  0
 2  0      0 19187024 355832 4666068    0    0     0   180 52580 150275 17  7 76  0  0
16  0      0 19256484 355880 4666040    0    0     0   388 60850 193052 21  7 72  0  0
 1  0      0 19264836 355880 4664048    0    0     0     0 49187 119800 13  6 80  0  0
 2  0      0 19270056 358472 4663896    0    0     0 14564 54108 130049 15  7 73  4  0
 9  0      0 19274680 358472 4663940    0    0     0     0 49595 130902 13  6 81  0  0
 4  0      0 19265144 358472 4663960    0    0     0     0 51428 156326 15  7 78  0  0
 1  0      0 19265724 358472 4666136    0    0     0    80 52514 142411 15  6 78  0  0
18  0      0 19282440 358472 4666136    0    0     0     0 51973 121190 15  7 78  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 19282472 358476 4666132    0    0     0    76 50208 115115 15  6 79  0  0
15  0      0 19283260 358504 4667292    0    0     0   112 51484 121643 15  6 78  0  0
23  0      0 19194512 359704 4670976    0    0  1455  6760 62526 181987 17  9 72  2  0
